province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,doy,et0_penman_monteith,et0_hargreaves
Chau Doc,31,21,10,NNE,0.0,63,19,1010,2011-01-08,8,22.30377200965348,4.045069566943279
Chau Doc,30,21,20,NE,0.0,62,40,1013,2012-01-08,8,37.42837650757922,3.79368297485339
Chau Doc,30,23,12,NNE,0.2,74,50,1010,2013-01-08,8,18.011372977464575,3.4229821209279643
Chau Doc,31,25,5,WSW,0.1,62,41,1011,2014-01-08,8,12.709520516604165,3.2763703546556933
Chau Doc,32,24,8,ENE,0.4,74,42,1011,2015-01-08,8,13.576480121691388,3.783226612450748
Chau Doc,33,24,11,ESE,0.7,68,42,1013,2016-01-08,8,20.520413115447784,4.056524751402124
Chau Doc,32,23,15,ESE,0.0,74,22,1008,2017-01-08,8,21.392808999188883,3.9689108258858794
Chau Doc,31,24,8,SE,10.4,80,32,1011,2018-01-08,8,10.891424388745998,3.5002503403620047
Chau Doc,31,23,9,ESE,0.0,73,35,1013,2019-01-08,8,15.317463958557207,3.7006234113055356
Chau Doc,33,24,8,SE,0.0,67,39,1010,2020-01-08,8,16.66002800893206,4.056524751402124
Chau Doc,32,23,9,ENE,0.0,69,25,1009,2021-01-08,8,17.326953357930872,3.9689108258858794
Chau Doc,29,18,15,E,0.0,57,17,1016,2009-01-12,12,35.670052718793364,4.029121563875411
Chau Doc,33,24,8,ESE,1.1,64,32,1013,2010-01-12,12,17.963488444870208,4.085697626648345
Chau Doc,32,22,10,ENE,0.0,59,12,1008,2011-01-12,12,24.214705570255717,4.167177414159077
Chau Doc,32,22,17,NNE,3.9,72,50,1010,2012-01-12,12,25.283047656984376,4.167177414159077
Chau Doc,32,23,6,ESE,0.0,63,14,1011,2013-01-12,12,14.928309678521362,3.997453617433479
Chau Doc,32,23,8,SE,0.3,65,29,1013,2014-01-12,12,17.660281052722723,3.997453617433479
Chau Doc,32,23,10,NNE,0.1,63,27,1012,2015-01-12,12,21.8544905876147,3.997453617433479
